,formula,species_name,mass,charge,ionisation_potential,dipole_moment,N_atoms,block_s,block_p,block_d,block_f,group_IA,group_IB,group_IIA,group_IIB,group_IIIA,group_IIIB,group_IVA,group_IVB,group_VA,group_VB,group_VIA,group_VIB,group_VIIA,group_VIIB,group_VIIIA,group_VIIIB
288,HClO4,perchloric acid,100.454,0,,2.17,6,1,5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
289,B2Cl4,Diboron tetrachloride,163.42,0,,0,6,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0
290,C2ClF3,"Ethene, chlorotrifluoro-",116.4672095,0,,0.58,6,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
291,C2Cl4,Tetrachloroethylene,165.822,0,,0,6,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
292,PCl5,Phosphorus pentachloride,208.223762,0,,0,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
293,ClF5,chlorinepentafluoride,130.4420158,0,,0.536,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
294,CH3SeH,Methane selenol,95.014,0,,1.291,6,4,2,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
295,C2H3Br,vinyl bromide,106.95,0,,1.42,6,3,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
296,BrF5,bromine pentafluoride,174.8960158,0,,1.51,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
297,C2H3I,Vinyl iodide,153.95047,0,,1.311,6,3,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
298,CH2CCH2,allene,40.065,0,9.67,0,7,4,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
299,CH3CCH,propyne,40.065,0,9.67,0.78,7,4,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
300,C3H4,cyclopropene,40.065,0,9.67,0.454,7,4,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
301,CH3NH2,methyl amine,31.058,0,8.9,1.31,7,5,2,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
302,C3H3N,acrylonitrile,53.064,0,10.91,3.882,7,3,4,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
303,CH3N3,methyl azide,57.056,0,,2.17,7,3,4,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
304,C3H2N2,Malononitrile,66.063,0,,3.73,7,2,5,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
305,CH3CHO,Acetaldehyde,44.053,0,9.33,2.75,7,4,3,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
306,C2H4O,Ethylene oxide,44.053,0,9.33,1.89,7,4,3,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
308,C2H3NO,Nitrosoethylene,57.052,0,11.3,2.77,7,3,4,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
309,CH3ONO,Methyl nitrite,61.04,0,10.44,2.05,7,3,4,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
310,CH3ONO,Methyl nitrite,61.04,0,10.44,2.36,7,3,4,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
311,CH3NO2,"Methane, nitro-",61.04,0,10.44,3.46,7,3,4,0,0,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
312,C2H2N2O,Furazan,70.051,0,,3.38,7,2,5,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0
313,CH3COF,Acetyl fluoride,62.04340316,0,,2.96,7,3,4,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0
314,CH3PH2,Methyl phosphine,48.024762,0,,1.1,7,5,2,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
315,C2H4S,Thiirane,60.114,0,9.3,1.85,7,4,3,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
316,CH2CHSH,Ethenethiol,60.114,0,9.3,0.91,7,4,3,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
317,CH3SSH,Hydrogen methyl disulfide,80.163,0,,1.796,7,4,3,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
318,C2H2N2S,"1,3,4-Thiadiazole",86.112,0,,3.28,7,2,5,0,0,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0
319,H2SO4,Sulfuric acid,98.072,0,,2.725,7,2,5,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
320,SF6,Sulfur Hexafluoride,146.050419,0,15.3,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0
321,CH3COCl,Acetyl Chloride,78.495,0,10.48,2.72,7,3,4,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0
322,C2H6,Ethane,30.07,0,11,0,8,6,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
323,C2H3CCH,1-Buten-3-yne,52.076,0,9.58,0.224,8,4,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
324,BH3NH3,borane ammonia,30.865,0,,5.216,8,6,2,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
325,C2H5N,Aziridine,43.069,0,8.1,1.89,8,5,3,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
326,CH3CHNH,ethanimine,43.069,0,8.1,1.9,8,5,3,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
327,NH2BHNH2,diaminoborane,43.864,0,,1.245,8,5,3,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
328,CH2NCH3,N-methylmethanimine,43.069,0,8.1,1.53,8,5,3,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
329,C2H3N3,"1H-1,2,4-Triazole",69.067,0,,2.7,8,3,5,0,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
330,C3H4O,2-Propyn-1-ol,56.064,0,9.48,1.81,8,4,4,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
331,CH2CHCHO,Acrolein,56.064,0,9.48,3.117,8,4,4,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
332,CH2CHCHO,Acrolein,56.064,0,9.48,2.552,8,4,4,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
333,C3H4O,Methylketene,56.064,0,9.48,1.79,8,4,4,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
334,C3H4O,Cyclopropanone,56.064,0,9.48,2.67,8,4,4,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
335,CH3OCHO,methyl formate,60.052,0,10.51,1.77,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
336,NH2CONH2,Urea,60.056,0,,3.83,8,4,4,0,0,4,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
337,CH3COOH,Acetic acid,60.052,0,10.51,1.7,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
338,CHOCH2OH,hydroxy acetaldehyde,60.052,0,10.51,2.34,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
339,C3H3NO,Oxazole,69.063,0,,1.503,8,3,5,0,0,3,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
340,C3H3NO,Isoxazole,69.063,0,,2.9,8,3,5,0,0,3,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
341,CH3NO3,Methyl nitrate,77.039,0,,3.081,8,3,5,0,0,3,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0
342,C3H2O3,vinylene carbonate,86.046,0,,4.51,8,2,6,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
343,C2H5F,fluoroethane,48.06040316,0,,1.96,8,5,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
344,C2H4F2,"1,2-difluoroethane",66.05080633,0,,0,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
345,C2H4F2,"1,2-difluoroethane",66.05080633,0,,2.67,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
346,CH3CHF2,"Ethane, 1,1-difluoro-",66.05080633,0,,2.262,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
347,CH3CF3,"Ethane, 1,1,1-trifluoro-",84.04120949,0,,2.32,8,3,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
348,CHF2CH2F,"Ethane, 1,1,2-trifluoro",84.04120949,0,,1.58,8,3,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
349,CHF2CH2F,"Ethane, 1,1,2-trifluoro",84.04120949,0,,2.84,8,3,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
350,NH3BF3,Amminetrifluoroboron,84.83620949,0,,5.903,8,3,5,0,0,3,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0
351,CF3CH2F,"1,1,1,2-tetrafluoroethane",102.0316127,0,,2.058,8,2,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
352,CHF2CHF2,"1,1,2,2-tetrafluoroethane",102.0316127,0,,0,8,2,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
353,CHF2CHF2,"1,1,2,2-tetrafluoroethane",102.0316127,0,,2.454,8,2,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
354,CF3COOH,trifluoroacetic acid,114.0232095,0,,2.28,8,1,7,0,0,1,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0
355,CF3CHF2,pentafluoroethane,120.0220158,0,,1.563,8,1,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0
356,C2F6,hexafluoroethane,138.012419,0,13.6,0,8,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0
357,CH3SiH3,methyl silane,46.144,0,,0.735,8,6,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
358,CH3SiFH2,fluoromethylsilane,64.13440316,0,,1.7,8,5,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
359,BH3PH3,borane phosphine,47.831762,0,,4,8,6,2,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
360,C3H3NS,Thiazole,85.124,0,,1.62,8,3,5,0,0,3,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
361,CH3CH2Cl,Ethyl chloride,64.512,0,,2.05,8,5,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
362,CH3CHCl2,"Ethane, 1,1-dichloro-",98.954,0,,2.06,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
363,CH2FCH2Cl,"Ethane, 1-chloro-2-fluoro-",82.50240316,0,,2.72,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
364,CH3CCl3,"Ethane, 1,1,1-trichloro-",133.396,0,,1.755,8,3,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
365,CH3CF2Cl,"1-Chloro-1,1-Difluoroethane",100.4928063,0,,2.14,8,3,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
366,CH2ClCHCl2,"1,1,2-trichloroethane",133.396,0,,1.5,8,3,5,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
367,CHCl2CHCl2,"Ethane, 1,1,2,2-tetrachloro-",167.838,0,,1.32,8,2,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
368,CCl3CHCl2,pentachloroethane,202.28,0,,0.92,8,1,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0
369,CF3CHFCl,"1,1,1,2-tetrafluorochloroethane",136.4736127,0,,1.469,8,1,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0
370,CF2ClCF2Cl,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",170.9156127,0,,0,8,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0
371,CF3CF2Cl,pentafluorochloroethane,154.4640158,0,,0.52,8,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0
372,CF3CCl3,"1,1,1-trifluoro-2,2,2-trichloroethane",187.3672095,0,,0.74,8,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0
373,GeH3CH3,methyl germane,90.689,0,,0.643,8,6,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
374,C2H5Br,Ethyl bromide,108.966,0,,2.03,8,5,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
375,CH2BrCH2Br,"Ethane, 1,2-dibromo-",187.862,0,10.35,1.04,8,4,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
376,C2H5I,Ethyl iodide,155.96647,0,,1.976,8,5,3,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
377,C3H6,Cyclopropane,42.081,0,9.9,0,9,6,3,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
378,CH2CHCH3,Propene,42.081,0,9.9,0.363,9,6,3,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
379,C2H5CN,ethyl cyanide,55.08,0,9.76,4.011,9,5,4,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
380,C3H4N2,1H-Imidazole,68.079,0,,3.667,9,4,5,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
381,C3H4N2,1H-Pyrazole,68.079,0,,2.214,9,4,5,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
382,C3H3N3,"1,3,5-Triazine",81.078,0,,0,9,3,6,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
383,CH3OCH3,Dimethyl ether,46.069,0,10.41,1.302,9,6,3,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
384,CH3CH2OH,Ethanol,46.069,0,10.41,1.52,9,6,3,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
385,CH3CH2OH,Ethanol,46.069,0,10.41,1.679,9,6,3,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
386,CH3CONH2,Acetamide,59.068,0,,3.76,9,5,4,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
387,CH3CHNOH,Acetaldoxime,59.068,0,,0.938,9,5,4,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
388,CH3CHNOH,Acetaldoxime,59.068,0,,0.85,9,5,4,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
389,HCONHCH3,N-methylformamide,59.068,0,,3.83,9,5,4,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
390,C4H4O,Furan,68.075,0,,0.66,9,4,5,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
391,C3H4O2,β–Propiolactone,72.063,0,,4.18,9,4,5,0,0,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
392,C4H2O3,Maleic Anhydride,98.057,0,,4.141,9,2,7,0,0,2,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
393,CH2CHCH2F,Allyl Fluoride,60.07140316,0,,1.76,9,5,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
394,CH2CHCH2F,Allyl Fluoride,60.07140316,0,,1.93,9,5,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
396,CH3SCH3,Dimethyl sulfide,62.13,0,,1.5,9,6,3,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
397,CH3CH2SH,ethanethiol,62.13,0,,1.58,9,6,3,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
398,CH3CH2SH,ethanethiol,62.13,0,,1.61,9,6,3,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
399,C4H4S,Thiophene,84.136,0,,0.55,9,4,5,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
400,C3H5Cl,"1-Propene, 3-chloro-",76.523,0,,1.94,9,5,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
401,C3H5Cl,1-chloro-1-propene(Z),76.523,0,,1.67,9,5,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
402,C3H5Cl,1-chloro-1-propene(E),76.523,0,,1.97,9,5,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
403,CH2ClCH2OH,2-Chloroethanol,80.511,0,,1.78,9,5,4,0,0,5,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0
404,CH3SeCH3,dimethylselenide,109.041,0,,1.41,9,6,3,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
405,C4H4Se,selenophene,131.047,0,,0.398,9,4,5,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
406,C4H6,Bicyclo[1.1.0]butane,54.092,0,8.7,0.675,10,6,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
407,CH2CCHCH3,"1,2-Butadiene",54.092,0,8.7,0.4,10,6,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
408,CH3CCCH3,2-Butyne,54.092,0,8.7,0,10,6,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
409,CHCCH2CH3,1-Butyne,54.092,0,8.7,0.782,10,6,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
410,C4H6,Cyclobutene,54.092,0,8.7,0.132,10,6,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
411,C4H6,1-Methylcyclopropene,54.092,0,8.7,0.84,10,6,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
412,C4H6,Methylenecyclopropane,54.092,0,8.7,0.402,10,6,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
413,CH3CH2NH2,Ethylamine,45.085,0,,1.22,10,7,3,0,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
414,CH3NHCH3,Dimethylamine,45.085,0,,1.03,10,7,3,0,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
415,C4H5N,Pyrrole,67.091,0,10.34,1.84,10,5,5,0,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
416,C4H5N,(E)-2-Butenenitrile,67.091,0,10.34,4.5,10,5,5,0,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
417,C4H5N,(Z)-2-Butenenitrile,67.091,0,10.34,4.08,10,5,5,0,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
418,C4H4N2,Pyrazine,80.09,0,,0,10,4,6,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
419,CH3CH2CHO,Propanal,58.08,0,9.1,2.52,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
420,C3H6O,Oxetane,58.08,0,9.1,1.94,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
421,CH3COCH3,Acetone,58.08,0,9.1,2.88,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
422,C3H6O,2-Propen-1-ol,58.08,0,9.1,1.6,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
423,C3H6O,Propylene oxide,58.08,0,9.1,2.01,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
424,C3H5OH,Cyclopropanol,58.08,0,9.1,1.46,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
425,CH3OCH2CN,Methoxyacetonitrile,71.079,0,,2.98,10,5,5,0,0,5,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0
426,H2NCH2COOH,Glycine,75.067,0,,1.095,10,5,5,0,0,5,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0
427,C4H4O2,2(5H)-Furanone,84.074,0,,4.905,10,4,6,0,0,4,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
428,C4H4O2,"2-Oxetanone, 4-methylene-",84.074,0,,3.53,10,4,6,0,0,4,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
429,CH3PHCH3,dimethylphosphine,62.051762,0,,1.23,10,7,3,0,0,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
430,C3H6S,"Thiirane, methyl-",74.141,0,,1.95,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
431,C3H6S,Thietane,74.141,0,,1.876,10,6,4,0,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
432,CH3SOCH3,Dimethyl sulfoxide,78.129,0,,3.96,10,6,4,0,0,6,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
433,CH3SO2NH2,methanesulfonamide,95.116,0,,4.59,10,5,5,0,0,5,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0
434,C3H8,Propane,44.097,0,11,0.084,11,8,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
435,C5H6,"1-Buten-3-yne, 2-methyl-",66.103,0,9.05,0.512,11,6,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
436,C5H6,"1,3-Cyclopentadiene",66.103,0,9.05,0.419,11,6,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
437,C5H6,"3-Penten-1-yne, (E)-",66.103,0,9.05,0.662,11,6,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
438,C5H6,Bicyclo[2.1.0]pent-2-ene,66.103,0,9.05,0.401,11,6,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
439,C5H6,Cyclopropylacetylene,66.103,0,9.05,0.892,11,6,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
440,C3H7N,Cyclopropylamine,57.096,0,,1.19,11,7,4,0,0,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
441,C3H7N,Azetidine,57.096,0,,1.34,11,7,4,0,0,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
442,C5H5N,Pyridine,79.102,0,,2.19,11,5,6,0,0,5,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
443,C5H5N,"E-2,4-pentadienenitrile",79.102,0,,3.96,11,5,6,0,0,5,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
444,C4H6O,"Furan, 2,5-dihydro-",70.091,0,,1.32,11,6,5,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
445,C4H6O,Cyclobutanone,70.091,0,,2.99,11,6,5,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
446,CHOCHCHCH3,2-Butenal,70.091,0,,3.679,11,6,5,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
447,CH2CHOCHCH2,Vinyl ether,70.091,0,,0.782,11,6,5,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
448,HCOOC2H5,Ethyl formate,74.079,0,9.9,1.98,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
449,HCOOC2H5,Ethyl formate,74.079,0,9.9,1.81,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
450,CH3CH2COOH,Propanoic Acid,74.079,0,9.9,1.75,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
451,CH3COOCH3,methyl acetate,74.079,0,9.9,1.72,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
452,C2H5NO3,"Nitric acid, ethyl ester",91.066,0,,3.39,11,5,6,0,0,5,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0
453,C5H4O2,furfural,96.085,0,,3.92,11,4,7,0,0,4,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
454,C5H4O2,furfural,96.085,0,,3.54,11,4,7,0,0,4,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
455,CH2FCH2CH3,1-Fluoropropane,62.08740316,0,,2.05,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
456,CH2FCH2CH3,1-Fluoropropane,62.08740316,0,,1.9,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
457,CH3CHFCH3,2-Fluoropropane,62.08740316,0,,1.956,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
458,CH3CF2CH3,"2,2-difluoropropane",80.07780633,0,,2.4,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
459,CH2FCH2CH2F,"1,3-difluoropropane",80.07780633,0,,2.082,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
460,CH2FCH2CH2F,"1,3-difluoropropane",80.07780633,0,,1.949,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
461,SiH2(CH3)2,dimethylsilane,60.171,0,,0.75,5,34,2,0,0,34,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
462,C4H6S,"Thiophene, 2,5-dihydro-",86.152,0,,1.75,11,6,5,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
463,CH2CHSCHCH2,Divinyl sulfide,86.152,0,,1.2,11,6,5,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
464,C2H6O2S,Dimethyl sulfone,94.128,0,,4.49,11,6,5,0,0,6,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
465,CH3CHClCH3,"Propane, 2-chloro-",78.539,0,,2.17,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
466,CH2ClCH2CH3,"Propane, 1-chloro-",78.539,0,,1.95,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
467,CH2ClCH2CH3,"Propane, 1-chloro-",78.539,0,,2.02,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
468,CH3CCl2CH3,"Propane, 2,2-dichloro-",112.981,0,,2.2,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
469,CH2ClCH2CH2Cl,"1,3-dichloropropane",112.981,0,,2.08,11,6,5,0,0,6,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0
470,CH3CHBrCH3,i-propyl bromide,122.993,0,,2.21,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
471,CH3CH2CH2Br,n-propyl bromide,122.993,0,,2.18,11,7,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
472,CH2CHCH2CH3,1-Butene,56.108,0,9.82,0.359,12,8,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
473,CH2C(CH3)CH3,"1-Propene, 2-methyl-",56.108,0,9.82,0.503,12,8,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
474,CH3CHCHCH3,"2-Butene, (E)-",56.108,0,9.82,0,12,8,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
